Department Name,Classification Name,Address Zip Code,svc_bin,pay_bin,start_year_bin,start_season
MASTER PLANNING,"ACCOUNTANT, PROJECT",91748,0-5,45-50,2010-2020,Summer
FINANCIAL SERVICES,"ACCOUNTANT, SR",91739,15-20,50-55,2000-2010,Winter
FINANCIAL SERVICES,"ACCOUNTANT, SR",91709,0-5,45-50,2010-2020,Winter
UTILIZATION MANAGEME,"ADMIN ASSISTANT, CAS",91767,0-5,30-35,2010-2020,Fall
EVS,"ADMIN ASSISTANT, EVS",92336,5-10,30-35,2010-2020,Spring
FAMILY ED & RESOURCE,"ADMIN ASSISTANT, FE",92509,15-20,30-35,2000-2010,Winter
MASTER PLANNING,"ADMIN ASSISTANT, MAS",91767,0-5,20-25,2010-2020,Summer
NURSE STAFFING,"ADMIN ASSISTANT, NIC",91730,20-25,30-35,1990-2000,Summer
PATIENT ACCOUNTING,ADMINISTRATIVE ASSIS,91701,15-20,30-35,2000-2010,Summer
PATIENT RELATIONS,ADMINISTRATIVE ASSIS,92407,15-20,25-30,2000-2010,Winter
NEUROLOGY,ADMINISTRATIVE ASSIS,91752,10-15,30-35,2000-2010,Spring
NURSE STAFFING,ADMINISTRATIVE ASSIS,91741,10-15,30-35,2000-2010,Winter
QUALITY MANAGEMENT,ADMINISTRATIVE ASSIS,92377,10-15,30-35,2000-2010,Spring
RADIOLOGY-ANGIOGRAPH,ADMINISTRATIVE ASSIS,91790,20-25,25-30,1990-2000,Fall
PHARMACY,ADMINISTRATIVE ASSIS,91766,15-20,25-30,2000-2010,Spring
PHARMACY,ADMINISTRATIVE ASSIS,91784,0-5,20-25,2010-2020,Spring
PHARMACY,ADMINISTRATIVE ASSIS,91730,0-5,30-35,2010-2020,Winter
DEPT OF ACADEMIC AFF,ADMINISTRATIVE ASSIS,92880,20-25,30-35,1990-2000,Summer
SLEEP CENTER,ADMINISTRATIVE ASSIS,92879,0-5,30-35,2010-2020,Summer
PLANT OPERATIONS,ADMINISTRATIVE ASSIS,92407,5-10,25-30,2010-2020,Winter
QUALITY MANAGEMENT,ADMINISTRATIVE ASSIS,91701,0-5,30-35,2010-2020,Winter
INFECTION CONTROL,ADMINISTRATIVE ASSIS,92337,5-10,25-30,2010-2020,Summer
RESPIRATORY SERVICES,ADMINISTRATIVE ASSIS,92337,10-15,30-35,2000-2010,Fall
FAMILY MEDICINE RESI,ADMINISTRATIVE ASSIS,91750,0-5,30-35,2010-2020,Summer
SOCIAL SERVICES,ADMINISTRATIVE ASSIS,91750,0-5,30-35,2010-2020,Spring
QUALITY MANAGEMENT,"ADMINISTRATOR, CLINI",91737,35-40,90-95,1980-1990,Summer
FOUNDATION,"ADMINISTRATOR, DATAB",91767,20-25,40-45,1990-2000,Summer
INFORMATION SERVICES,"ADMINISTRATOR, IDENT",92801,0-5,40-45,2010-2020,Spring
INFORMATION SERVICES,"ADMINISTRATOR, IDENT",91750,0-5,35-40,2010-2020,Fall
RADIOLOGY-ADMIN,"ADMINISTRATOR, PACS",92354,40-45,60-65,1970-1980,Summer
INFORMATION SERVICES,"ADMINISTRATOR, SR ID",92336,10-15,50-55,2000-2010,Summer
MATERIALS MGNT ADMIN,"ADMINISTRATOR, SUPPL",91737,0-5,30-35,2010-2020,Winter
ER ADMITTING,ADMT REG REP,91710,0-5,15-20,2010-2020,Winter
ER ADMITTING,ADMT REG REP,92316,0-5,15-20,2010-2020,Summer
ER ADMITTING,ADMT REG REP,91763,0-5,15-20,2010-2020,Summer
ADMITTING NORTH,ADMT REG REP,92404,20-25,20-25,1990-2000,Spring
ER ADMITTING,ADMT REG REP,92335,0-5,15-20,2010-2020,Spring
ER ADMITTING,ADMT REG REP,91710,0-5,15-20,2010-2020,Winter
ADMITTING SOUTH,ADMT REG REP,91786,15-20,20-25,2000-2010,Spring
ADMITTING SOUTH,ADMT REG REP,91730,0-5,20-25,2010-2020,Summer
ER ADMITTING,ADMT REG REP,91766,15-20,20-25,2000-2010,Spring
ER ADMITTING,ADMT REG REP,91767,20-25,20-25,1990-2000,Summer
ER ADMITTING,ADMT REG REP,92374,0-5,15-20,2010-2020,Fall
ER ADMITTING,ADMT REG REP,91766,nan,20-25,2010-2020,Summer
ER ADMITTING,ADMT REG REP,91786,0-5,20-25,2010-2020,Fall
ER ADMITTING,ADMT REG REP,91766,5-10,20-25,2010-2020,Fall
ER ADMITTING,ADMT REG REP,92882,0-5,20-25,2010-2020,Fall
ER ADMITTING,ADMT REG REP,91710,nan,15-20,2010-2020,Fall
ADMITTING SOUTH,ADMT REG REP,91740,15-20,20-25,2000-2010,Winter
ER ADMITTING,ADMT REG REP,91773,0-5,20-25,2010-2020,Summer
ADMITTING SOUTH,ADMT REG REP,91762,5-10,15-20,2010-2020,Summer
ADMITTING NORTH,ADMT REG REP,92509,30-35,20-25,1980-1990,Fall
ER ADMITTING,ADMT REG REP,91761,20-25,20-25,1990-2000,Spring
ER ADMITTING,ADMT REG REP,91744,0-5,20-25,2010-2020,Winter
ER ADMITTING,ADMT REG REP,91786,nan,20-25,2010-2020,Fall
ER ADMITTING,ADMT REG REP,92337,5-10,20-25,2010-2020,Spring
ADMITTING NORTH,ADMT REG REP,91106,10-15,20-25,2000-2010,Winter
ADMITTING NORTH,ADMT REG REP,91710,0-5,20-25,2010-2020,Fall
ADMITTING SOUTH,ADMT REG REP,92377,30-35,20-25,1980-1990,Summer
ADMITTING NORTH,ADMT REG REP,91730,0-5,15-20,2010-2020,Fall
ER ADMITTING,ADMT REG REP,92394,0-5,20-25,2010-2020,Spring
ER ADMITTING,ADMT REG REP,92335,0-5,20-25,2010-2020,Summer
ADMITTING SOUTH,ADMT REG REP,92373,15-20,20-25,2000-2010,Spring
ADMITTING SOUTH,ADMT REG REP,91709,15-20,20-25,2000-2010,Spring
ADMITTING SOUTH,ADMT REG REP,91790,10-15,20-25,2000-2010,Spring
ADMITTING NORTH,ADMT REG REP,91768,15-20,20-25,2000-2010,Summer
ADMITTING SOUTH,ADMT REG REP,91767,nan,15-20,2010-2020,Summer
ER ADMITTING,ADMT REG REP,91740,0-5,20-25,2010-2020,Spring
ER ADMITTING,ADMT REG REP,91761,0-5,20-25,2010-2020,Winter
ADMITTING NORTH,ADMT REG REP,91730,10-15,20-25,2000-2010,Spring
ER ADMITTING,ADMT REG REP,92880,15-20,20-25,2000-2010,Fall
ADMITTING SOUTH,ADMT REG REP,91766,0-5,15-20,2010-2020,Summer
ER ADMITTING,ADMT REG REP,91709,5-10,20-25,2010-2020,Fall
ADMITTING SOUTH,ADMT REG REP,91709,10-15,20-25,2000-2010,Spring
ER ADMITTING,ADMT REG REP,92336,nan,15-20,2010-2020,Fall
ER ADMITTING,ADMT REG REP,91786,nan,20-25,2010-2020,Fall
ER ADMITTING,ADMT REG REP,92377,0-5,15-20,2010-2020,Winter
ER ADMITTING,ADMT REG REP,92336,0-5,15-20,2010-2020,Spring
ER ADMITTING,ADMT REG REP,92553,0-5,20-25,2010-2020,Fall
ER ADMITTING,ADMT REG REP,91768,15-20,20-25,2000-2010,Summer
ER ADMITTING,ADMT REG REP,91737,0-5,15-20,2010-2020,Winter
ADMITTING SOUTH,ADMT REG REP,91767,10-15,20-25,2000-2010,Spring
ER ADMITTING,ADMT REG REP,91765,5-10,20-25,2010-2020,Spring
ADMITTING SOUTH,ADMT REG REP,92376,5-10,20-25,2010-2020,Spring
ER ADMITTING,ADMT REG REP,91709,15-20,20-25,1990-2000,Fall
ER ADMITTING,ADMT REG REP,91750,0-5,20-25,2010-2020,Winter
ADMITTING NORTH,ADMT REG REP,91767,5-10,20-25,2010-2020,Spring
ADMITTING SOUTH,ADMT REG REP,92376,15-20,20-25,2000-2010,Fall
ER ADMITTING,ADMT REG REP,92335,0-5,15-20,2010-2020,Winter
ADMITTING SOUTH,ADMT REG REP,91766,0-5,15-20,2010-2020,Fall
ADMITTING SOUTH,ADMT REG REP,92337,0-5,15-20,2010-2020,Spring
ER ADMITTING,ADMT REG REP,91767,nan,20-25,2010-2020,Fall
ER ADMITTING,ADMT REG REP,91007,nan,15-20,2010-2020,Fall
PHY THER LAVERNE HC,"AIDE I, PHYSICAL THE",91711,10-15,20-25,2000-2010,Winter
PHYSICAL THERAPY,"AIDE II, PHYSICAL TH",91710,0-5,20-25,2010-2020,Summer
PHYSICAL THERAPY,"AIDE III, PHYSICAL T",92392,25-30,25-30,1990-2000,Summer
PHYSICAL THERAPY,"AIDE III, PHYSICAL T",92345,15-20,25-30,2000-2010,Fall
PHYSICAL THERAPY MON,"AIDE III, PHYSICAL T",91730,25-30,25-30,1990-2000,Spring
PHYSICAL THERAPY CHI,"AIDE III, PHYSICAL T",91764,15-20,25-30,2000-2010,Spring
RADIOLOGY-DIAG,"AIDE, RADIOLOGY TRAN",92831,0-5,15-20,2010-2020,Spring
RADIOLOGY-SCAN,"AIDE, RADIOLOGY TRAN",91745,0-5,15-20,2010-2020,Fall
RADIOLOGY-DIAG,"AIDE, RADIOLOGY TRAN",91710,nan,15-20,2010-2020,Fall
RADIOLOGY-SCAN,"AIDE, RADIOLOGY TRAN",91767,0-5,15-20,2010-2020,Fall
RADIOLOGY-SCAN,"AIDE, RADIOLOGY TRAN",91752,5-10,20-25,2010-2020,Summer
RADIOLOGY-DIAG,"AIDE, RADIOLOGY TRAN",92324,5-10,20-25,2010-2020,Spring
RADIOLOGY-DIAG,"AIDE, RADIOLOGY TRAN",91711,0-5,20-25,2010-2020,Fall
RADIOLOGY-SCAN,"AIDE, RADIOLOGY TRAN",92336,5-10,15-20,2010-2020,Summer
RADIOLOGY-MRI,"AIDE, RADIOLOGY TRAN",91730,0-5,15-20,2010-2020,Fall
RADIOLOGY-DIAG,"AIDE, RADIOLOGY TRAN",91730,0-5,15-20,2010-2020,Winter
RADIOLOGY-DIAG,"AIDE, RADIOLOGY TRAN",91786,30-35,20-25,1980-1990,Summer
RADIOLOGY-DIAG,"AIDE, RADIOLOGY TRAN",91752,0-5,15-20,2010-2020,Fall
RADIOLOGY-SCAN,"AIDE, RADIOLOGY TRAN",91750,0-5,15-20,2010-2020,Fall
RADIOLOGY-DIAG,"AIDE, RADIOLOGY TRAN",91709,0-5,15-20,2010-2020,Fall
RADIOLOGY-SCAN,"AIDE, RADIOLOGY TRAN",92860,10-15,20-25,2000-2010,Fall
RADIOLOGY-DIAG,"AIDE, RADIOLOGY TRAN",91768,0-5,15-20,2010-2020,Spring
RADIOLOGY-SCAN,"AIDE, RADIOLOGY TRAN",92336,0-5,15-20,2010-2020,Fall
RADIOLOGY-SCAN,"AIDE, RADIOLOGY TRAN",92223,5-10,20-25,2010-2020,Fall
RADIOLOGY-DIAG,"AIDE, RADIOLOGY TRAN",91786,0-5,15-20,2010-2020,Fall
RADIOLOGY-SCAN,"AIDE, ULTRASOUND",91766,25-30,20-25,1990-2000,Spring
RADIOLOGY-MRI,"AIDE, ULTRASOUND",91750,25-30,20-25,1980-1990,Fall
MATERIALS MGNT ADMIN,"ANALYST, CDM & REVEN",92404,10-15,40-45,2000-2010,Spring
INFORMATION SERVICES,"ANALYST, CLINICAL IN",91784,0-5,65-70,2010-2020,Spring
INFORMATION SERVICES,"ANALYST, CLINICAL IN",92880,0-5,55-60,2010-2020,Spring
INFORMATION SERVICES,"ANALYST, CLINICAL IN",91763,10-15,60-65,2000-2010,Winter
SATELLITE CENTRAL BI,"ANALYST, CODING QUAL",91723,0-5,40-45,2010-2020,Fall
INFECTION CONTROL,"ANALYST, INFECTION P",91701,10-15,35-40,2000-2010,Summer
BUSINESS SERVICES SY,"ANALYST, LEAD REVENU",91764,25-30,55-60,1990-2000,Spring
SATELLITE CENTRAL BI,"ANALYST, PAYER REIMB",92335,10-15,25-30,2000-2010,Fall
PATIENT ACCOUNTING,"ANALYST, PERFORMANCE",91739,20-25,45-50,1990-2000,Fall
BUSINESS SERVICES SY,"ANALYST, REVENUE CYC",91709,15-20,50-55,2000-2010,Spring
BUSINESS SERVICES SY,"ANALYST, REVENUE CYC",91709,20-25,50-55,1990-2000,Winter
BUSINESS SERVICES SY,"ANALYST, REVENUE CYC",91761,5-10,40-45,2010-2020,Spring
BUSINESS SERVICES SY,"ANALYST, REVENUE CYC",91786,0-5,50-55,2010-2020,Spring
BUSINESS SERVICES SY,"ANALYST, REVENUE CYC",91764,15-20,50-55,2000-2010,Fall
BUSINESS SERVICES SY,"ANALYST, REVENUE CYC",92506,10-15,45-50,2000-2010,Summer
BUSINESS SERVICES SY,"ANALYST, REVENUE CYC",92509,15-20,45-50,2000-2010,Fall
BUSINESS SERVICES SY,"ANALYST, REVENUE CYC",92336,10-15,45-50,2000-2010,Fall
MATERIALS MGNT ADMIN,"ANALYST, STRATEGIC S",91761,0-5,40-45,2010-2020,Fall
CANCER REGISTRY,"ASISSTANT, CANCER RE",91750,10-15,25-30,2000-2010,Summer
LAVERNE HC PRIMARY C,"ASSISTANT I, MEDICAL",91711,15-20,20-25,2000-2010,Winter
FAMILY PRACTICE CLIN,"ASSISTANT I, MEDICAL",92345,15-20,20-25,2000-2010,Summer
CLAREMONT HC URGENT,"ASSISTANT I, MEDICAL",92316,0-5,15-20,2010-2020,Spring
CLAREMONT HC URGENT,"ASSISTANT I, MEDICAL",91730,0-5,nan,2010-2020,Spring
CHINO HILLS  HEALTH,"ASSISTANT I, MEDICAL",91765,5-10,20-25,2010-2020,Winter
