Bit Size,Bit Type,Bit Mfg,Bit Serial Number,Depth In,Depth Out,Distance,Hrs,ROP,I,O,MD,LOC,B,G,OD,RP,Official Well Name,Formation Summary,Operator,Spud,Run Date,Rig Contractor,Rig Name,State / Province,County / Parish,Mud Code,Mud Wt Avg,Mud Wt Max,Mud Wt Min,Latitude,Longitude,Az In,Az Out,Inc In,Inc Max,Inc Min,Inc Out,Dir Type,BHA Type,Field,Bit Nozzle Summary,Bit TFA,
12.250,E1300,REEDHYCALOG,A237548,90,1522,1432,8,179.00,1,1,CT,A,X,,NO,TD,ACADIAN 0806 11-2-1MH,MRMC,CAMINO NATURAL RESOURCES,9-Jan-19,9-Jan-19,CACTUS DRILLING,151,OKLAHOMA,GRADY,W,,8.4,8.4,35.174957,-97.794159,,,,,,,V,,,,,
8.750,DSC616M-X18,REEDHYCALOG,A250604,1522,8671,7149,71.5,99.99,2,3,CT,A,X,,WT,PR,ACADIAN 0806 11-2-1MH,MRMC,CAMINO NATURAL RESOURCES,9-Jan-19,11-Jan-19,CACTUS DRILLING,151,OKLAHOMA,GRADY,O,,8.8,8.8,35.174957,-97.794159,,,,,,,V,,,,,
8.750,DS616M-X18,REEDHYCALOG,A256232,8671,10620,1949,35,55.69,1,1,WT,N,X,1,NO,BHA,ACADIAN 0806 11-2-1MH,MRMC,CAMINO NATURAL RESOURCES,9-Jan-19,15-Jan-19,CACTUS DRILLING,151,OKLAHOMA,GRADY,O,,8.8,8.8,35.174957,-97.794159,,,,,,,V,,,,,
8.750,TK73-A2,REEDHYCALOG,A258749,10620,17508,6888,116,59.38,1,1,WT,S,X,I,NO,BHA,ACADIAN 0806 11-2-1MH,MRMC,CAMINO NATURAL RESOURCES,9-Jan-19,17-Jan-19,CACTUS DRILLING,151,OKLAHOMA,GRADY,O,,9.3,9.3,35.174957,-97.794159,,,,,,,C,,,,,
8.750,TK66-F8,REEDHYCALOG,A247128,17508,19815,2307,32.5,70.98,2,2,WT,A,X,,CT,BHA,ACADIAN 0806 11-2-1MH,MRMC,CAMINO NATURAL RESOURCES,9-Jan-19,24-Jan-19,CACTUS DRILLING,151,OKLAHOMA,GRADY,O,,9.3,9.3,35.174957,-97.794159,,,,,,,H,,,,,
17.500,VTD619SHX,VAREL,4006372,100,1502,1402,8.25,169.94,1,1,NO,S,X,,NO,TD,ACTION JACKSON 0404 1-34-27MXH,MRMC,MARATHON OIL,10-May-19,,HELMERICH & PAYNE DRILLING,247,OKLAHOMA,GARVIN,W,,,,34.768872,-97.610834,,,,,,,V,,,,,
12.250,FY616PF,VAREL,4011478,1502,8327,6825,101.1,67.51,1,1,WT,S,X,,NO,DMF,ACTION JACKSON 0404 1-34-27MXH,MRMC,MARATHON OIL,10-May-19,,HELMERICH & PAYNE DRILLING,247,OKLAHOMA,GARVIN,O,,,,34.768872,-97.610834,,,,,,,V,,,,,
12.250,SPL616,VAREL,45901,8327,8350,23,5,4.60,0,1,LT,S,X,,NO,DMF,ACTION JACKSON 0404 1-34-27MXH,MRMC,MARATHON OIL,10-May-19,,HELMERICH & PAYNE DRILLING,247,OKLAHOMA,GARVIN,O,,,,34.768872,-97.610834,,,,,,,V,,,,,
12.250,MM65D,SECURITY,12934990,8350,10407,2057,75.25,27.34,7,4,LT,N,X,,BT,TD,ACTION JACKSON 0404 1-34-27MXH,MRMC,MARATHON OIL,10-May-19,,HELMERICH & PAYNE DRILLING,247,OKLAHOMA,GARVIN,O,,,,34.768872,-97.610834,,,,,,,V,,,,,
8.750,F613PF,VAREL,411057,10407,11723,1316,16,82.25,1,2,CT,S,X,,CT,BHA,ACTION JACKSON 0404 1-34-27MXH,MRMC,MARATHON OIL,10-May-19,,HELMERICH & PAYNE DRILLING,247,OKLAHOMA,GARVIN,O,,,,34.768872,-97.610834,,,,,,,H,,,,,
